"# 文本key","文本value"
"string","string"
"63a9696bcc42d38cdcdec0430f18c418","Use your connections to intimidate"
"b1489c652baa6028dad629d22da44fdb","The Champion has spoken, and I'm willing to settle our grudge. I hope I didn't offend you."
"93f8bb726e5e68244077d471d5f6da83","Well, let's put our grievances aside for now. But using a show of force to intimidate is unwise."
"9548a4d951db06add151ecb8dcd207f2","Humph! More people? Do you think I'm afraid of you?"
"0e83f060ed8d05df545d22288b9c83a8","Offer them coins"
"ee96a243350c2bda1c996a710f405ba9","Give me 8,000 coins, and we'll consider this grudge settled."
"d0175eea3836634b3767f14764682abb","Take the job."
"e9a521d361caebe1f936fd9f38946831","Deal! From this day forward, we'll shake hands and let bygones be bygones."
"7173f80900ea2ff9fec6568115611305","Refuse"
"38d0a91b79c901cf5b74ecbea83c4464","Give me 5,000 coins, and we'll consider this grudge settled."
"6b7866d721ad1f9adc139f4c2448695e","Give me 2,000 coins, and we'll consider this grudge settled."
"f1647ea6ee1afe118095abb7e6201f5e","I have a reputation to uphold in the martial world! Don't even think about buying me with money!!"
"83713baadbb15c40484e83478375fb69","Exploit their vulnerabilities to coerce"
"01adc1ff84cbcb24a61fa16d85c41020","Humph! I've always been fair and honest. What leverage could you possibly have??"
"be753415a61507dbef74161d8336e773","Force them into agreement"
"006b76461c1d6946a077965e26fb6bb1","Do you believe someone like me would cower in the face of your threats? Ridiculous!!"
"1f78f65f392a42947be025021db8f21d","I can put our differences aside, but bullying the weak doesn't befit a gentleman."
"ef37194bf4b6014fc1175fab340aea65","My network extends far and wide. You dare to act recklessly!!!"
"c2602d590aefdb857b49a9a698652147","Too weak. You're overestimating yourself if you think you can threaten me!"
"57d14bfa8e304db41a7daed6d6104ba7","Try to settle this with your words"
"5d1acd210332d82ae3af58e9cab682b4","Talk about topics that interest the other person"
"39819f29d5933eec2b171a70062ac35d","Talk about Geomancy"
"df1cc557639ba9db39fe2fa9527aaeab","You share similar abilities and have a great conversation. \\nBoth gain 5% EXP in the respective ability\\nAdmire +30"
"8cd2cd54ab864e8a76d2120e58da5b0e","I have limited knowledge of this ability, and the other person finds the conversation boring. \\nSuspicion +10"
"85d9e63be3647bbd55076f8ca3e155c1","Talk about Leechcraft"
"63a5f21cb353a52d97a50b84e391c59e","Talk about Weave"
"802d024b9fd49c22b5223d5e7ef3ccf0","Talk about Crafting"
"8542b593289b9473dafba98bbea97fd8","Talk about Establishment"
"25bf43127c392f043afa41ff68c6ae3c","Talk about Taming"
"90554c11a959a7590f6104286973c300","Talk about Cooking"
"0133f6ab0c1c339ef7a5e4e95c9d801d","Talk about Wine Art"
"3535efed48dd210ac263313e4575d00b","Talk about Music"
"6803120561ccc63776010eff00db2d6f","Talk about Beg"
"1b44823ed7250b83adeb6dbd1492f1cc","Talk about Sneak"
"1091ea5db8bdb19a538868e265ecd7b6","Talk about Forging"
"c4b0436743e6f2eca23d9d2a42ae8e54","I'd rather not continue this conversation for now. I need a four-hour break."
"a2ff92e4f2d985bf62adcc7735f81d8b","Interrogate the prisoner"
"ef297db73d4e0d97e8cb1874f761f721","Inquire about their skills"
"0c5a135d1279863dbcb5a2be6095069e","I know a skill you don't. I can teach you, just don't torture me!"
"4d4bb57e9ca8fa5e1872b415f19292fb","You're despicable! Just kill me already!"
"2e0e59d4d6433c60c89751e43ef7c8ad","You've already mastered the skills I know, so why go to such lengths..."
"7b3ce9bf2bab0bdea90cde4578241200","Inquire about their Inner Kungfu"
"e405d182e8759629d5b62f63881dba08","I know an Inner Kungfu you don't. I can teach you, just don't torture me!"
"51e2faf8059d231d6727cd77cdf77a24","You've already mastered the Inner Kungfu I know, so why go to such lengths..."
"73f66685d4eb431cea4d39ad19651b06","Subject them to torture"
"ae65182f6346d9ede05dc794b3b293a4","Ahh! You scoundrel, my leg is numb!!"
"af118cd54c3a7dbbfae9cb8b4bade0c4","My... my eyes! Damn you!!"
"8b842dcf525f92ae09129ca47cb8f85a","Please stop! I can't take it anymore!!"
"f914d12e2043b725a457f0c96b32d0a2","The other party's attitude has softened."
"962f156813fde7fa082acc7699fba498","The other party's injuries are too severe and returned to Karma..."
"db84f1697c9979a605ca74cedba13bf5","......"
"394a805b0c32b486806bcde0dda13fb3","Accept as a retainer"
"3d7b52f87a63a992439adfd7cbbab48c","Now that my life is in your hands, I submit to you."
"c6839f146f0ce9f142ddc10335e7ccc7","You're delusional! I'd rather die!!!"
"651a2fa9b36bc539195fcf22a0034767","Compliment the other person"
"c8c0364ac88721cf594d88d3ad48db25","Compliment their looks"
"a5505db1b4c5f75f7bb513feb2491778","Compliment their strength"
"cfdc89379053f345ba316f0903401829","Compliment their reputation"
"02a70a6967959bd9c9de65202060ba10","They feel happy. Admire +10"
"524723da4ce3c63c4ad491e02e14f764","They feel happy. Trust +10"
"5809830d2182d65e36f1ffd290fb29c8","The other person suspects me of being insincere. Suspicion +10"
"91f90f112aa2b9a39c884fd5a78a23c5","The other person suspects me of being insincere. Dislike +10"
"043c89c1c78b7587e2e1f69eb20369fc","Compliment their identity"
"33d5b13e528decef7b94c4f41c9b7c54","Compliment their connections"
"9cdc3885630276a036e8d8df736503f8","Compliment their wealth"
"4e381bb1e1ce389fdfa87b1259c7adbd","Enough of the compliments. It's becoming a bit tedious."
"f9e81d81420900163f981091142d016a","Dislike +10"
"d50e77572a079876eb878dfed2ee1fba","Secret Intel"
"80f063e627b702695ca6a0b11b23bec7","Persuade the other person to change their identity"
"1ed55c49cb63b1ac11b9c73c14b4dfdb","What do you want me to become? With my current abilities, I can take on these professions."
"ee59e78a0dfbaf064029333ec81df1ec","Roamer"
"5925cceaea604c1d1d13d560c456a0a8","{0}, I don't want to become a Roamer..."
"4c271941b7e779cac38f9bc9e31d986d","{0}, since you insist, I'll become a Roamer."
"516a25ac53fc6af95f495554c10b1f00","Stable Manager"
"022a2abcfc6bdcc1c78c3c177be5d375","{0}, I'll go with your suggestion and become the Stable Manager."
"3db4bbfd533edac4ae3a43d474bf1f4d","Spring Manager"
"e2737dc91b3a5c664be3b5c974e21f5f","{0}, I'll go with your suggestion and become the Spring Manager."
"663a44b8d91a35d93d21854290207da3","Langya Pavilion Manager"
"aa48cb88d800c934e0e09e13c953eb99","{0}, I'll go with your suggestion and become the Langya Pavilion Manager."
"51292bd658c14059b03c0c006e7599d5","Music House Manager"
"3a22c45d0310098da5affe50fcf6fd70","{0}, I'll go with your suggestion and become the Music House Manager."
"b8323f610bfa59ed1e854d452273a35e","Tavern Manager"
"fa9064f19e76a62d4e953e42de84f990","{0}, I'll go with your suggestion and become the Tavern Manager."
"fd45e4201cde6c83c9667037cbc48710","Smithy Manager"
"3e46a87547b613c4bdcaeb52a564e25a","{0}, I'll go with your suggestion and become the Smithy Manager."
"600df32cae07a323465b4cc890e90a23","Clinic Manager"
"ffcd49251b04614ea32bf4b12dc7a301","{0}, I'll go with your suggestion and become the Clinic Manager."
"b15493ee2ed840b6dcfeb1bcd60d2689","Fabric Shop Manager"
"8131dba3cd4127eded1636cce83b2c8c","{0}, I'll go with your suggestion and become the Fabric Shop Manager."
"d98bcb1bfbe12fff3fbd84efe531b41f","Bandit"
"21a1f187fdcd476c984c6a7c68b5f9cd","{0}, I don't want to be a Bandit, despised by others..."
"13a8626c40380a6ffb129ad2710142cb","{0}, since you insist, I'll become a Bandit."
"a6168d40a27a4eb79039b8350de449e1","Woodcutter"
"f2655c53d3df7924c1db85dcf7fafa24","{0}, I'll go with your suggestion and become a Woodcutter."
"38308288ce145182991b2a9aaf34ad6a","Farmer"
"512f7d3c6ac705703717b99069537616","{0}, I'll go with your suggestion and become a Farmer."
"a362574fa4f39356144d630dbf69c4ae","Miner"
"389f567e5fe7683e64bce64e0a9fd81d","{0}, I'll go with your suggestion and become a Miner."
"6d71a296f895a8894dbce2383c03de78","Hunter"
"d0eb7c839c592f41ff2341203ce40a4f","{0}, I'll go with your suggestion and become a Hunter."
"0fe8356454fa951a70504bd445b451b5","Fisherman"
"5ef5627c6c66f317859a494d36770ca7","{0}, I'll go with your suggestion and become a Fisherman."
"ab13dc1019cbdfb4aba70b4176ea81f8","Bodyguard"
"ed7335ae2cdd0c46158a867ecca3d413","{0}, I'll go with your suggestion and become a Bodyguard."
"b89af7a6cf58dc4d2133f77b5989644f","Beggar"
"77ce06c7155698b95d9c3fe0182035f4","{0}, this is too embarrassing... Can I not become a Beggar?"
"83b94ddf93a72968e99746ac485a20e7","{0}, since you insist, I'll become a Beggar."
"0f7e1ce372d54358ac35c7a872dcb258","I barely know you. Who are you to tell me what to do?"
"2ce5ad0f677a8b840362396d53eee424","Play Food Chain Duel"
"2c9f6e5cd6d24eaef5aa0ac4076ec320","Let's play a few rounds."
"1f854a31e071d86cdf5b728764e57dff","How much are you willing to bet this time?"
"54b57796d8c757c5c42e7d18c3e2fda9","100 Coins"
"520437051f44229eed53bdac55c77a9d","Excellent! Let's call it together then..."
"78110ab5f778e698e6d2671b8b430881","[Chicken]"
"7c9725c50b3fa31a362099fa9c63ae1a","[Worm]! Ah... tough luck, you've won."
"731b60a79d32e53e745aaa049579f7d0","Yes! Won 100 coins! "
"eec43044aa9193b62c619f7d0de52756","I won, let's play another round."
"607bd7285fc862c0974c5c8496b721af","Let's call it a day!  You've already racked up debts of over 3,000 coins! We can have another go next time."
"31dcb82ef400ccfec4b4e2377e863f4f","Don't leave! ! ! !"
"664103621d049df2f554289379db3433","You're quite the player... I've lost all my money. We'll have to have a rematch another day! ! !"
"a52a94ff3050cf21dcad37f47ee858ed","Haha, we'll meet again someday!"
"44ef351f600d836fcdfa54b600db40cf","Seems like luck hasn't favored you. You've got less than 300 coins left. It's best to quit now, or you'll end up in debt soon."
"5673246d5d1f6f471636142b9f144878","I want a rematch! !"
"752f40634c728c94cfd4803bd91db41b","It's best to quit before I lose everything..."
"232e9ef5b692c1d7fe7b1cb35c6f56af","I quit."
"c58c2abadf591d3f6b6aa560abd5f923","[Tiger]! Aha! I won!"
"8aa2b8d492ee6db2d016f9409634039d","Ugh, lost 100 coins..."
"45aac22464f6fd6cabc24bb7fddec992","Let's have another round!"
"3829749da1c903eec98484abaf20c048","[Worm]"
"d463bf2820c6a17ed1f7e43af26840f2","[Stick]! Ah... tough luck, you've won."
"3aa4554e2c02f1dcb5730e75055f8f89","[Chicken]! Aha! I won!"
"c474fb4c4b757a5fe0241b452f4812fc","[Stick]"
"e71979e52ce8d2afe0b1f84376853e77","[Tiger]! Ah... tough luck, you've won."
"846eb784e18132dbc11ecd3c1aea049a","[Worm]! Aha! I won!"
"923c557e23f5a55db5a61dada02f9289","[Tiger]"
"468085bf241f03ad95e52310097122be","[Chicken]! Ah... tough luck, you've won."
"eaf7c4a63b669da56825fec27fd85db7","[Stick]! Aha! I won!"
"f2d6cd18014eb3cf042047d9ac31651f","Adjust Bet"
"37bf09948277d6a903c51180fed73503","300 Coins"
"1f560331f3399064b84f017204c71b30","Yes! Won 300 coins!"
"33552209e6160354f07145ff1e38f8f3","Ugh, lost 300 coins..."
"dbd989c5885536af8271aed73362584a","1,000 Coins"
"0aa4b5b2c2603fff414cea4386c772a4","Yes! Won 1,000 coins! "
"003639d7ef9c8a610e999f91eaef9ee8","Ugh, lost 1,000 coins..."
"a5ddb9fb45df94074af1b7e05b991bdf","I quit."
"d942f008cdb0423801c98276dc6ce478","I'm worried about losing, so I'd rather not play."
"b524ff64292b4d9836cb23588a899017","I don't have much money, so I'd prefer not to play."
"e82deef859fc5009802ef39d2f1b562f","Become a Couple (Affinity greater than 600)"
"1eb5bdc293eb04f8c5ed0fa60a88f49b","Shameless! You and my father get along well, but how dare you harbor inappropriate feelings for me?!"
"f31ba0dc531c1af180fc4e089d8796d3","Despise +50"
"20202564535c82851b0771be505f217a","Shameless! You and my mother get along well, but how dare you harbor inappropriate feelings for me?!"
"3248f0efe6fe8f13df23af91cb4df9e5","Shameless! You and my husband get along well, but how dare you harbor inappropriate feelings for me?!"
"2ee5e26cdc9757be1749bc2e8f8205da","Shameless! You and my wife get along well, but how dare you harbor inappropriate feelings for me?!"
"cfec2c9b1d2efedce1fe2886e2dadc12","Shameless! You and my son get along well, but how dare you harbor inappropriate feelings for me?!"
"6e20136be35f43ae12e3a66e5a9b15be","Shameless! You and my daughter get along well, but how dare you harbor inappropriate feelings for me?!"
"7923ac563b310b65462eca1011f98e74","I would never be unfaithful! My heart belongs to someone else, so please don't bother me!!"
"2f43b42fd833d1e77420a8dae7419000","..."
"a09e9b175d6d506aa75857be633a8cd3","I feel the same way. We are the perfect match."
"3ac8e5d6bbe5d8f9d9f4f93553e76071","Become a couple!"
"bd3f0f10ab00faf78dfa1aae4723043c","We're bound by blood!!! How can you behave so immorally!!"
"889a4807aa401f5a5dda7ca735e0266e","I appreciate your feelings, but I must decline."
"f8e0916406be7d390e9e665c4edf06d4","Become Brothers (Affinity greater than 400)"
"9b2af4c28ac4921fd25de05c451e92cc","I share the same intention. Let's hope we can walk the same path, sharing both fortune and adversity."
"a4e6af7b0c2d933ff195a62dc62795d8","Become Close Friends"
"39bdc32ba5b27e4f57748ea2b38c579e","Unfortunately, our paths don't align, so I must respectfully decline."
"984c46f8957bc9c113f5cc3d798c780a","It seems we're not that close yet, and I wouldn't want to push it."
"4534c3fbed889c39f4e6fbd23fd15373","Inquire about their Sect"
"dadea516d8a5c88bfa1e9fbe90d00c52","The sect is full. Expand your Sect territory to raise the member limit."
"8a01cac761d31fcce0852085c670b546","Ask them to join yours"
"167358fa1a643ccd51631316a6e93259","{0}, I'm content with my current sect. I won't be joining yours for now."
"ac2c8f13c6e60810197b19d683f5f184","Very well!"
"82f35c225508f9f2bf362d9f8dc365d0","{0}, I've made up my mind to leave my current sect and join yours."
"8fb37e74fd12943ca7fd69a1e6be80ca","{0}, I haven't joined any sect yet, so I'll gladly join yours."
"fa6e8d1148d94820086653755528739b","{0}, stop daydreaming! We have our own conflicts. I won't be joining your sect!"
"34b7dc9e03448c140bd94092bf4ec873","I've already joined a sect, and if you want me to leave and join yours, pay me 40,000 coins."
"752a49d4dee2ddba00053ba9e389fe47","I've already joined a sect, and if you want me to leave and join yours, pay me 20,000 coins."
"bf6434520b4dbe6338eb5a8b0fb41221","I've already joined a sect, and if you want me to leave and join yours, pay me 8,000 coins."
"0b384cbbbe9326b73c65b537d6c744da","I've already joined a sect, and if you want me to leave and join yours, pay me 4,000 coins."
"4560e765d47ccdf302f6caf3ff6ce2a7","I don't belong to any sect right now. Pay me 8,000 coins, and I'll join yours."
"c42104467ec35d31bd26750bc8965f06","I don't belong to any sect right now. Pay me 5,000 coins, and I'll join yours."
"09787777de2f6e411637c95a3a6a8717","I don't belong to any sect right now. Pay me 2,000 coins, and I'll join yours."
"128bc532208f28409843b286ec558202","I don't belong to any sect right now. Pay me 800 coins, and I'll join yours."
"c618c33fca1f745544af671047299514","{0}, I don't belong to any sect, and we have no grievances between us. I'll join your sect for now."
"89371d212c41ac61462334021261f98a","Start an argument (verbal duel)"
"1d63449a6a5827c47af4b54a9ce648d6","Learn about their identity"
"05e5e5a92b13e9addc4832b0a3bdc935","*Sigh* I spend my days idly wandering, just a traveler. When will I be free from my worries?"
"1929cd9aabe0f664c85e7403dacc094b","I manage the station, providing a rest stop for travelers and selling groceries."
"0e94f8e36d459f9c0bd5a2b7e38cb32a","I run the hot spring, offering a place for travelers to unwind."
"de3d5e1a79188a247c8357d923396862","Come to me if you need mechanical devices and facilities crafted."
"7b9984a0529b9b5812a45b6192c06312","I entertain with music, serve fine wines, and provide amusement for travelers."
"3bf457ac80047d482a0591ec3e7ea550","I brew wines, prepare delicious meals, and listen to exciting anecdotes travelers share."
"c54265d127ce615b19ba31fb214ac81c","I craft and sell weapons, striving for extraordinary armaments."
"5233524bcd149ed97c8a117c30a9779b","I make medicines and treat ailments. I give free treatment to my friends."
"e9554e44b28b022761f01dd09a8862e2","I weave all kinds of clothes and want everyone to be able to wear the clothes I make."
"d909cf6f1015524e8097bfc9f858af3d","Haha, work is out of the question, my role is to handle wealth."
"ac09584c2964edc5277ef3c3201375eb","I make a living by chopping wood, hoping for a fortuitous encounter someday."
"d6e151417bae9049bbcbb2fc9b891c01","A cottage, a small field, a carefree existence, simply seeking a peaceful life."
"996430eff608a24475fb7272c3289523","I gather and sell ore. My job can be dangerous, as rare ore is rarely found outside hazardous places."
"566ef4d95a7222c39da9ca1e073cb6db","I hunt daily, capturing animals that can be tamed and raised."
"0765e393dd85e98fcceef8823e088f81","Catch fish, sell fish, catch fish, sell fish... my hands are almost worn out..."
"872960179827755fe8e195bf29a42a24","I possess some martial skills. Anyone in need can hire me at a reasonable rate."
"3ef57534a5778be4428ee8632183a072","I can teach you secret skills. For a fee, I can teach you everything I know."
"306343fdc059615ffa6dd76d7eae63b9","Lacking support, I rely on the kindness of others for sustenance."
"c164729ab706f36c92841c58192fa415","I undertake various assigned tasks, aspiring to become an indoor disciple soon."
"287bd6f25bd520beca9c73f3a536fbd5","I protect buildings, gather resources, and practice martial arts. That's all."
"61163c95258b28a6e75a03b41b986eaa","As second in command, I can lead disciples and earn a higher salary."
"9e4e9d8b96b6af68bb0d9c490b10ebab","I issue sect commands, set rules, and steer our sect's growth."
"a96834ff735deb66bbd875e80c6e5f83","All sects respect my counsel. I mediate key events in the martial world."
"31d4d4dcbd236914341f3361c2a20b43","I oversee the cultivators, maintain world stability, and collect refining materials."
"5b1acda2e710ea843abe7244f3a97c3d","Da Nei guards are loyal to the Emperor and bring order to any place known to man."
"54e821370989f8833056e2994a3d2f0d","Request for promotion"
"1956dcfe99feed3db449daefc48dece7","Your Prestige is sufficient for a promotion. Keep up the good work and make even more contributions to the sect."
"8bf9c0d613fc9d685ec5a92256a7b6fc","Thank you, Master!"
"fcf96a0475a6256c8b8863dfceaa9f2a","I've been promoted to an Indoor Disciple."
"c4f39bd6795c6eb32144150df57954fb","I've been promoted to an Elder."
"9e841fc9e36a23241b8ced2866d2e330","Your Prestige has risen so quickly. It seems it's time for me to step down. The hopes of the sect now rest on you."
"82465555fbd0ae6fd787124793606ac8","Thank you. I'll do my best to bring honor to the sect."
"f8ffa476bdebce0c0bc5fb79a83ada84","As the former master steps aside, I take the reins as the new Master."
"bd74ce95a50766ce7afcd5d818558fd9","Your sect Prestige is not yet sufficient for a promotion. Please continue to help the sect with various tasks."
"e56fc15b4f641fca97dc152a9932b422","Regarding the recent attack on the Bamboo Pond's master..."
"df7252477551439f83b0248232304a0b","Huh? You're asking about the recent attack on the master? That night, I went out for a moment and saw a man lurking outside the master's hall, not sure what he was up to."
"ccb041bfa40eceee33f97f3e1e31f782","You got some clues. If you think they suffice, go submit them to that man."
"5a9cd737acc61e7dc2226cda607c5df3","Thanks for the info. I appreciate it."
"cff8ebdf50ee2b4c2e2924090e835a55","The recent attack on the master? The other day, while practicing martial arts, I spotted a chubby black shadow sneaking around. It seems related to the master's affairs."
"36d80cf34a1f30a5af8c330ec319ba41","Was this about something involving the master? Oh! That day, I saw a shadow leap over the outer wall and head toward the main hall. Their skills were impressive, suggesting they were at least an indoor disciple."
"456945365c27070fe8d1ec0ffec238e3","About the matter you entrusted me with the other day..."
"3da9c7bc1d1aa7922494adf63ecbb90f","Oh? Time isn't up, and you've made discoveries?"
"b67c88be019bd36b4cfbfe267a89280f","I've definitely gained some insights. (Note: You must submit everything at once; multiple submissions are not allowed.)"
